artista,musica,album,kmeans_cluster
Pouya,1000 Rounds,1000 Rounds,4
The Expendables,Sacrifice,Gettin' Filthy,2
Justin Bieber,Backpack,Journals,4
The Chainsmokers,Paris,Memories...Do Not Open,2
The Chainsmokers,Paris,Memories...Do Not Open,3
Justin Timberlake,Murder,The 20/20 Experience - 2 of 2,2
Fifth Harmony,Squeeze,7/27,2
Fifth Harmony,Squeeze,7/27,3
Avenza,Loch Ness,Loch Ness,2
Wrongonyou,Killer,Killer,4
Wrongonyou,Killer,Killer,2
Wrongonyou,Killer,Killer,2
Wrongonyou,Killer,Killer,5
Wrongonyou,Killer,Killer,0
Bob Marley & The Wailers,Exodus,Exodus,4
Bob Marley & The Wailers,Exodus,Exodus,2
Bob Marley & The Wailers,Exodus,Exodus,0
Pendulum,Mutiny,In Silico,2
Pendulum,Mutiny,In Silico,5
Knife Party,Centipede,Rage Valley EP,2
The Airborne Toxic Event,Timeless,Such Hot Blood,8
Life of Dillon,Overload,Overload,2
Life of Dillon,Overload,Overload,5
Life of Dillon,Overload,Overload,0
$uicideBoy$,2nd Hand,Kill Yourself Sagas: XI - XV,2
$uicideBoy$,2nd Hand,Kill Yourself Sagas: XI - XV,3
Hands Like Houses,Antarctica,Ground Dweller,2
$uicideBoy$,Mount Sinai,Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,8
$uicideBoy$,Magazine,Radical $uicide,4
$uicideBoy$,Magazine,Radical $uicide,4
$uicideBoy$,LTE,YUNGDEATHLILLIFE,2
Ghostemane,Seppuku (feat. Suicideboy$ & Jgrxxn),For the Aspiring Occultist,2
12 Stones,Bury Me,Beneath The Scars,4
12 Stones,Bury Me,Beneath The Scars,8
deadmau5,Polaris,"We Are Friends, Vol. 6",2
Tom Walker,Rapture,Blessings - EP,4
Tom Walker,Rapture,Blessings - EP,8
Willa,Swan,Criminals + Dreamers,2
Kanye West,Homecoming,Graduation,2
Kanye West,Homecoming,Graduation,0
Kanye West,Homecoming,Graduation,0
In This Moment,Blood,Rise of the Blood Legion- The Best of (Chapter 1),2
In This Moment,Blood,Rise of the Blood Legion- The Best of (Chapter 1),2
In This Moment,Blood,Rise of the Blood Legion- The Best of (Chapter 1),8
Bow Wow,Sweat,Sweat,4
Florida Georgia Line,Dirt,Anything Goes,2
Florida Georgia Line,Dirt,Anything Goes,2
Florida Georgia Line,Dirt,Anything Goes,7
Catfish and the Bottlemen,Oxygen,The Ride,2
Catfish and the Bottlemen,Oxygen,The Ride,3
Atlas Genius,Electric,When It Was Now,4
Dae Zhen,Friday,Friday,4
Dae Zhen,Friday,Friday,5
BIGBANG,Lies,Always,2
BIGBANG,Lies,Always,2
BIGBANG,Lies,Always,4
$uicideBoy$,Memoirs of a Gorilla,Radical $uicide,4
Vince Staples,Norf Norf,Summertime '06,2
Vince Staples,Norf Norf,Summertime '06,3
Rich Chigga,Dat $tick,Dat $tick - Single,2
Rich Chigga,Dat $tick,Dat $tick - Single,3
Gnarls Barkley,Crazy,St. Elsewhere,4
Gnarls Barkley,Crazy,St. Elsewhere,2
Gnarls Barkley,Crazy,St. Elsewhere,0
Gnarls Barkley,Crazy,St. Elsewhere,1
Night Lovell,Still Cold / Pathway Private,Red Teenage Melody,8
Night Lovell,Still Cold / Pathway Private,Red Teenage Melody,6
$uicideBoy$,Slip on a Banana Clip,DirtierNastierSuicide,4
Journey,Lights,Infinity,2
Journey,Lights,Infinity,2
Journey,Lights,Infinity,2
Vince Staples,Big Fish,Big Fish Theory,2
Denzel Curry,Story: No Title,Imperial,2
Denzel Curry,Story: No Title,Imperial,2
Night Lovell,Dark Light,Concept Vague,2
Night Lovell,Dark Light,Concept Vague,8
Night Lovell,Dark Light,Concept Vague,6
Pouya,"But Wait, There's More (feat. $uicideBoy$)",Underground Underdog,4
Pouya,Great Influence,Underground Underdog,4
Donavon Frankenreiter,It Don't Matter,Donavon Frankenreiter,2
Lil Pump,Boss,Lil Pump,4
Lil Pump,Boss,Lil Pump,4
Citizen Way,Bulletproof,2.0,4
Night Lovell,Contraband,Red Teenage Melody,2
Yung Lean,Kyoto,Kyoto,2
Ski Mask The Slump God,Bird Is The Word,You Will Regret,2
Ski Mask The Slump God,Life Is Short,Life Is Short,2
Demi Lovato,Here We Go Again,Here We Go Again,4
Demi Lovato,Here We Go Again,Here We Go Again,4
Demi Lovato,Here We Go Again,Here We Go Again,4
Shakewell,Sleeping Bag,Sleeping Bag,2
Grace Acladna,Afterlife,Songs of the Subconscious,2
Grace Acladna,Afterlife,Songs of the Subconscious,2
Grace Acladna,Afterlife,Songs of the Subconscious,3
Grace Acladna,Afterlife,Songs of the Subconscious,4
Demi Lovato,Heart Attack,Demi,4
Demi Lovato,Heart Attack,Demi,0
Demi Lovato,Heart Attack,Demi,0
Demi Lovato,Heart Attack,Demi,1
Ben Rector,Brand New,Brand New,2
Ben Rector,Brand New,Brand New,6
6LACK,PRBLMS,FREE 6LACK,2
6LACK,PRBLMS,FREE 6LACK,1
Lund,Broken,Broken,2
Lund,Broken,Broken,2
Lund,Broken,Broken,5
Lund,Broken,Broken,5
Lund,Broken,Broken,4
Lund,Broken,Broken,2
Willis,Skywalker,Chasing Daisy,2
Carrie Underwood,Smoke Break,Storyteller,4
Carrie Underwood,Smoke Break,Storyteller,5
Night Lovell,Louis V,Red Teenage Melody,2
Smokepurpp,Fuck A Swisher,Up Now Fuck Next,2
Young Dolph,Whatever,Shittin On The Industry,2
Jack White,Lazaretto,Lazaretto,4
Jack White,Lazaretto,Lazaretto,0
Travis Scott,coordinate,Birds In The Trap Sing McKnight,4
Ty Dolla $ign,Droptop in the Rain (feat. Tory Lanez),Beach House 3,2
Ty Dolla $ign,Droptop in the Rain (feat. Tory Lanez),Beach House 3,0
Maleek Berry,Flexin,Last Daze Of Summer,2
21 Savage,No Heart,Savage Mode,2
21 Savage,No Heart,Savage Mode,2
21 Savage,No Heart,Savage Mode,3
Esco Racks,Codeine Crazy,Monster,2
The Drums,Days,Portamento,2
Kendrick Lamar,Swimming Pools (Drank),Swimming Pools (Drank),2
Kendrick Lamar,Swimming Pools (Drank),Swimming Pools (Drank),3
Kendrick Lamar,Swimming Pools (Drank),Swimming Pools (Drank),3
The 1975,12,The 1975,2
Ben Khan,Savage,1992 EP,2
Ben Khan,Savage,1992 EP,7
Ben Khan,Savage,1992 EP,6
Future,Thought It Was a Drought,DS2,2
Denzel Curry,ULT,Imperial,4
Denzel Curry,ULT,Imperial,1
Chief Keef,Love Sosa,Finally Rich,2
Chief Keef,Love Sosa,Finally Rich,3
Chris Brown,Remember Me,Fan of A Fan The Album (Deluxe Version),2
Chris Brown,Remember Me,Fan of A Fan The Album (Deluxe Version),3
Chris Brown,Remember Me,Fan of A Fan The Album (Deluxe Version),7
Kodak Black,Tunnel Vision,Painting Pictures,2
Kodak Black,Tunnel Vision,Painting Pictures,7
Lil Yachty,Life Goes On,Summer Songs 2,2
Lil Yachty,Life Goes On,Summer Songs 2,1
Travis Scott,beibs in the trap,Birds In The Trap Sing McKnight,2
Denzel Curry,Gook,Imperial,2
Annaleigh Ashford,What You Want,Legally Blonde The Musical (Original Broadway Cast Recording),2
Juvenile,Slow Motion,Juve The Great,4
Juvenile,Slow Motion,Juve The Great,4
Juvenile,Slow Motion,Juve The Great,2
Juvenile,Slow Motion,Juve The Great,7
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,8
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,2
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,2
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,0
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,4
Artie Shaw,Nightmare,Ultimate Big Band Collection: Artie Shaw,6
Marshmello,Know Me,Joytime,2
Marshmello,Know Me,Joytime,2
Marshmello,Know Me,Joytime,0
JAY Z,Lift Off,Watch The Throne,2
Tyga,Molly,Hotel California,2
Tyga,Molly,Hotel California,2
Tyga,Molly,Hotel California,0
Fifth Harmony,Messy,Fifth Harmony,2
Fifth Harmony,Messy,Fifth Harmony,8
Fifth Harmony,Messy,Fifth Harmony,2
Fifth Harmony,Messy,Fifth Harmony,7
Ne-Yo,Mad,Year Of The Gentleman,8
Ne-Yo,Mad,Year Of The Gentleman,5
Ne-Yo,Mad,Year Of The Gentleman,7
Ne-Yo,Mad,Year Of The Gentleman,7
Ne-Yo,Mad,Year Of The Gentleman,7
Justin Bieber,Fall,Believe,2
Justin Bieber,Fall,Believe,8
Asking Alexandria,Closure,Reckless And Relentless,8
Asking Alexandria,Closure,Reckless And Relentless,2
Xavier Wulf,Psycho Pass,Blood Shore Season 2,2
Xavier Wulf,Psycho Pass,Blood Shore Season 2,2
Yung Lean,Yoshi City,Unknown Memory,2
Jimi Hendrix,If 6 Was 9,Axis: Bold As Love,4
Logic,Slave,Bobby Tarantino,2
